Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-09-19 05:17:16,false,"Quan Thanh Khe Running","5.48","310","01:00:41","123","146","2.2","140","176","11:05","8:33","3","9","0.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","05:29.29","6","31.0","01:00:17","01:00:41","-5","1"
Running,2023-09-14 05:15:32,false,"Quan Thanh Khe Running","5.38","309","00:59:35","125","150","2.4","124","178","11:04","8:03","2","8","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","04:48.18","6","32.0","00:59:24","00:59:35","-8","1"
Cycling,2023-09-13 05:13:46,false,"Quan Thanh Khe Cycling","28.59","545","01:18:17","138","169","4.0","--","--","21.9","44.8","150","161","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","09:30.40","6","32.0","01:18:08","01:22:30","-21","27"
Running,2023-09-12 05:18:52,false,"Quan Thanh Khe Running","5.41","308","01:01:00","118","140","2.3","105","248","11:17","7:30","2","9","0.86","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","05:58.26","6","32.0","00:59:08","01:01:00","-7","1"
Cycling,2023-09-09 04:34:08,false,"Quan Thanh Khe Cycling","39.86","929","02:06:29","148","183","5.0","--","--","18.9","51.8","363","395","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","12:48.73","8","33.0","02:05:40","02:47:32","-3","118"
Running,2023-09-07 05:23:32,false,"Quan Thanh Khe Running","2.62","150","00:37:56","99","134","0.9","72","201","14:29","9:33","1","5","1.17","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","09:58.64","3","31.0","00:36:22","00:37:56","-4","1"
Cycling,2023-09-06 05:12:51,false,"Quan Thanh Khe Cycling","24.43","443","01:14:39","128","153","3.3","--","--","19.6","26.1","29","38","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","12:46.33","5","32.0","01:14:24","01:15:48","-9","1"
Cycling,2023-08-29 05:12:25,false,"Quan Thanh Khe Cycling","19.73","320","00:51:49","128","149","2.7","--","--","22.8","27.4","13","14","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","12:12.22","4","31.0","00:51:33","00:52:54","-2","3"
Running,2023-08-22 05:41:30,false,"Quan Thanh Khe - Run MAF 5 Km","4.49","266","00:41:47","140","152","2.9","162","178","9:19","7:25","--","6","0.67","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:16.62","7","33.0","00:41:44","00:41:55","-11","-7"
Running,2023-08-17 05:38:01,false,"Quan Thanh Khe Running","3.08","186","00:25:42","147","159","2.9","172","178","8:21","6:24","--","2","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","00:57.45","4","31.0","00:25:40","00:25:42","-10","-8"
Cardio,2023-08-15 05:53:13,false,"Cardio","0.00","176","00:20:40","153","173","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","20:40.25","1","31.0","00:00:00","00:20:40","-9","-9"
Running,2023-08-15 05:35:09,false,"Quan Thanh Khe Running","2.04","125","00:16:12","141","156","3.0","173","178","7:56","7:19","--","3","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","00:25.35","3","30.0","00:16:10","00:16:12","-10","-8"
Cycling,2023-08-11 05:13:41,false,"Quan Thanh Khe Cycling","20.94","290","01:01:18","118","144","2.0","--","--","20.5","26.9","7","14","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","30.0","0:00","No","02:50.90","5","33.0","01:01:00","01:04:14","-7","0"
Yoga,2023-08-09 06:25:39,false,"Yoga","0.00","33","00:12:15","87","120","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","32.0","0:00","No","12:15.44","1","32.0","00:00:00","00:12:15","--","--"
Cycling,2023-08-09 05:19:55,false,"Quan Thanh Khe Cycling","20.15","277","01:00:35","117","139","1.7","--","--","20.0","27.3","12","20","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:43.55","5","32.0","01:00:20","01:01:14","-44","1"
Cardio,2023-08-08 06:02:41,false,"Cardio","0.00","116","00:20:01","122","145","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","20:00.50","1","32.0","00:00:00","00:20:01","-10","-10"
Running,2023-08-08 05:40:36,false,"Quan Thanh Khe Running","1.75","99","00:20:08","111","135","1.2","67","175","11:31","6:35","--","3","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","09:28.28","2","32.0","00:20:05","00:20:08","-11","-8"
Running,2023-08-06 04:01:22,false,"Quan Son Tra Running","21.36","1,501","03:35:51","164","186","5.0","142","241","10:06","4:14","55","65","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","03:53.75","22","36.0","03:33:55","03:35:51","-16","20"
Yoga,2023-07-25 06:36:32,false,"Yoga","0.00","73","00:17:23","106","121","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","31.0","0:00","No","17:23.13","1","33.0","00:00:00","00:17:23","--","--"
Running,2023-07-25 05:38:45,false,"Quan Thanh Khe Running","5.02","295","00:45:37","143","155","2.8","172","178","9:06","7:07","--","6","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","29.0","0:00","No","00:09.86","6","32.0","00:45:37","00:45:37","-10","-7"
Yoga,2023-07-22 06:51:58,false,"Yoga","0.00","69","00:15:22","109","121","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","33.0","0:00","No","15:21.95","1","33.0","00:00:00","00:15:22","--","--"
